"subj_idx","sex","age","edu","block_id","block_type","trial_id","trial_type_num","label_en","shape_en","valence","match","correctRp","response","rt","acc"
"v010001","male",27,"硕士",2,"test",3,12,"bad","circular","bad","match","n","n","871.1999999996042","1"
"v010001","male",27,"硕士",2,"test",4,12,"good","circular","bad","mismatch","m","m","860.9000000014203","1"
"v010001","male",27,"硕士",2,"test",5,12,"good","square","good","match","n","n","729.6000000005588","1"
"v010001","male",27,"硕士",2,"test",6,12,"ordinary","circular","bad","mismatch","m","m","1100.5999999997439","1"
"v010001","male",27,"硕士",2,"test",7,12,"good","triangle","ordinary","mismatch","m","m","846.3000000010943","1"
"v010001","male",27,"硕士",2,"test",8,12,"bad","circular","bad","match","n","m","833.5999999999767","0"
"v010001","male",27,"硕士",2,"test",9,12,"ordinary","triangle","ordinary","match","n","n","911.5999999993946","1"
"v010001","male",27,"硕士",2,"test",10,12,"ordinary","square","good","mismatch","m","m","749.7999999995809","1"
"v010001","male",27,"硕士",2,"test",11,12,"ordinary","triangle","ordinary","match","n","n","794.5","1"
"v010001","male",27,"硕士",2,"test",12,12,"bad","triangle","ordinary","mismatch","m","m","694.9999999997672","1"
"v010001","male",27,"硕士",3,"test",1,13,"good","circular","bad","mismatch","m","m","988.7999999992317","1"
"v010001","male",27,"硕士",3,"test",2,13,"ordinary","triangle","ordinary","match","n","n","796.9999999987194","1"
"v010001","male",27,"硕士",3,"test",3,13,"good","triangle","ordinary","mismatch","m","m","728.0000000009313","1"
"v010001","male",27,"硕士",3,"test",4,13,"bad","triangle","ordinary","mismatch","m","m","834.8000000005122","1"
"v010001","male",27,"硕士",3,"test",5,13,"good","square","good","match","n","n","819.1999999999534","1"
"v010001","male",27,"硕士",3,"test",6,13,"ordinary","square","good","mismatch","m","m","747.4000000002561","1"
"v010001","male",27,"硕士",3,"test",7,13,"ordinary","circular","bad","mismatch","m","m","783.9000000003725","1"
"v010001","male",27,"硕士",3,"test",8,13,"bad","circular","bad","match","n","n","720.4000000001397","1"
"v010001","male",27,"硕士",3,"test",9,13,"bad","square","good","mismatch","m","m","680.5000000004657","1"
"v010001","male",27,"硕士",3,"test",10,13,"ordinary","triangle","ordinary","match","n","m","843.6999999994878","0"
"v010001","male",27,"硕士",3,"test",11,13,"bad","circular","bad","match","n","n","987.100000000326","1"
"v010001","male",27,"硕士",3,"test",12,13,"good","square","good","match","n","n","631.199999999837","1"
"v010001","male",27,"硕士",3,"test",1,14,"ordinary","triangle","ordinary","match","n","n","836.9000000002561","1"
"v010001","male",27,"硕士",3,"test",2,14,"bad","circular","bad","match","n","n","857.6999999986729","1"
"v010001","male",27,"硕士",3,"test",3,14,"good","square","good","match","n","n","655.7999999986496","1"
"v010001","male",27,"硕士",3,"test",4,14,"bad","triangle","ordinary","mismatch","m","m","750.3000000014435","1"
"v010001","male",27,"硕士",3,"test",5,14,"bad","circular","bad","match","n","m","769.1999999987893","0"
